BIRTHDATE;YEAR;AGE;SEX;SPORT_Y_N;SPORT_B;N_SPORTS;SPORT_TYPE;MINUTES;WEEK_DAYS;DAY_MOMENT
09/07/1965;1965;58;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);600;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
25/05/1978;1978;45;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc));1200;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Noches (Evenings)
07/12/1974;1974;49;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Montaña;840;Martes (Tuesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
27/01/1984;1984;39;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Kickboxing ;180;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
24/05/1975;1975;48;Femenino (female);Sí, semanalmente (Yes, weekly);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);360;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
27/11/1971;1971;52;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));210;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
23/08/1976;1976;47;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
28/09/2023;2023;0;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);480;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Tardes (Afternoons)
02/09/1978;1978;45;Masculino (male);Sí, semanalmente (Yes, weekly);Si;3+;Fútbol (Football), Baloncesto (Basketball), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);600;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Mañanas (Mornings), Tardes (Afternoons)
18/06/1964;1964;59;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));600;Martes (Tuesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings)
01/12/1970;1970;53;Masculino (male);Sí, semanalmente (Yes, weekly);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);250;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Sábado (Saturday);Mañanas (Mornings), Tardes (Afternoons)
10/07/2002;2002;21;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Kick boxing, boxeo ;420;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Tardes (Afternoons)
04/06/1980;1980;43;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Jiu Jitsu;420;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings), Noches (Evenings)
31/08/1979;1979;44;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);600;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
16/09/2000;2000;23;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);400;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
30/05/2001;2001;22;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Gimnasio (Gym);350;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings), Tardes (Afternoons)
27/02/1963;1963;60;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);600;Lunes (Monday), Miércoles (Wednesday), Domingo (Sunday);Tardes (Afternoons), Noches (Evenings)
08/10/1968;1968;55;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));280;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
12/03/1972;1972;51;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Miércoles (Wednesday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
24/05/1993;1993;30;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
20/10/2023;2023;0;Femenino (female);Sí, semanalmente (Yes, weekly);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Lunes (Monday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
23/06/1992;1992;31;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), CrossFit ;450;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
09/01/1989;1989;34;Masculino (male);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));265;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
03/06/1988;1988;35;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Viernes (Friday), Domingo (Sunday);Tardes (Afternoons)
09/04/1974;1974;49;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc));500;Martes (Tuesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings)
03/12/1991;1991;32;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);480;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
08/07/1972;1972;51;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Fútbol (Football), Atletismo (correr, marcha etc) (Athletics (running, walking etc));330;Martes (Tuesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
04/07/1973;1973;50;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc));480;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
24/04/1998;1998;25;Masculino (male);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));360;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
30/09/1988;1988;35;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Crossfit;120;Lunes (Monday), Jueves (Thursday);Tardes (Afternoons)
10/12/1984;1984;39;Masculino (male);No;No;3+;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Ninguno (None);Tardes (Afternoons)
19/12/1981;1981;42;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);180;Lunes (Monday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
01/09/1981;1981;42;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));330;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Mañanas (Mornings), Tardes (Afternoons)
09/09/1983;1983;40;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);400;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
15/08/1989;1989;34;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
11/11/1988;1988;35;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
08/02/1978;1978;45;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);160;Lunes (Monday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
16/09/1993;1993;30;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);360;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings)
14/12/1991;1991;32;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));240;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
24/02/1976;1976;47;Femenino (female);No;No;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));60;Jueves (Thursday);Tardes (Afternoons)
19/09/1982;1982;41;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));210;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Noches (Evenings)
23/05/1975;1975;48;Masculino (male);Sí, semanalmente (Yes, weekly);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);60;Sábado (Saturday);Tardes (Afternoons)
30/10/1964;1964;59;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc));480;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Sábado (Saturday);Tardes (Afternoons)
23/05/1969;1969;54;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));120;Lunes (Monday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
01/10/2023;2023;0;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));480;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
22/01/2023;2023;0;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc));480;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings)
26/10/1972;1972;51;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Martes (Tuesday), Jueves (Thursday), Sábado (Saturday);Mañanas (Mornings), Tardes (Afternoons)
20/09/1959;1959;64;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Tardes (Afternoons)
02/02/1992;1992;31;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc));300;Martes (Tuesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
23/04/1963;1963;60;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc));400;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
